dowódca1,dowódca2,dowódca3,tył,kierowca1,kierowca2,kierowca3,kabina,dach
"Wentylator spalinowy LEADER MT\n 225",Pilarka spalinowa jednoręczna Sthil MS201,Wąż W75-20ŁA (7 szt.),Nakładka pianowa do LSN,Pompa hydrauliczna Holmatro DUO,Torba medyczna R1,Klucz do hydrantów naziemnych,Kliny pod koła (2 szt.),Hak ewakuacyjny elektroizolacyjny
Agregat prądotwórczy Honda EU20i 2.0 kW,Pilarka spalinowa Sthil MS291,Wąż W42-20ŁA (4 szt.),Lanca kominowa,Mata sprzętowa,Nosze plachtowe XXL,Stojak hydrantowy 80/75-75,Przedłużacz elektryczny bębnowy,Pilarka  STHIL HT133 na wysięgniku
Motopompa szlamowa WT30X 1200 l/min,Przecinarka spalinowa Sthil TS420,Wąż W52-20ŁA (5 szt.),,"Rozpieracz ramieniowy, Holmatro\n",Kamizelka KED,Klucz do hydrantów podziemnych,Wąż pneumatyczny,Smok ssawny 110
Gaśnica proszkowa 6 kg,Kanister z benzyną 5l,Set of Irons (hooligan + topór),,Nożyce hydrauliczne Holmatro,Unieruchomienie pediatryczne,Opryskiwacz 9l z SINTAnem,Pistolet do pompowania kół,Pływak
Gaśnica wodna mgłowa 6 kg,Mieszanka paliwowa,Pakiet wężowy z prądownicą turbo (30m),,"Rozpieracz cylindryczny Holmatro\n",Torba opatrunkowa,Szczotka ulicznica (4 szt.),Zestaw żarówek i bezpieczników,Drabina nasadkowa aluminiowa (4 szt.)
Gaśnica śniegowa (CO) 5kg,"Kanister COMBI, Sthil",Podpinka weżowa (4 szt.),,Przecinak do pedałów Holmatro,Pasy do deski,Trójkąt ostrzegawczy,Podnośnik hydrauliczny ręczny (lewarek),Drabina słupkowa DS 3.1
Koc gaśniczy,Skrzynka narzędziowa do pilarek,Zawór liniowy 52,,Oklejarka do szyb,Klocki do stabilizacji do deski,Wanna wychwytowa duża,Klucz do kół,Drabina 3x4 z platformą
"Kurtyna, dymowa",Tarcza zapasowa diamentowa,Kaseton 52,,"Przedłużka do rozpieracza, cylindrycznego (3 szt.)",Koc (3 szt.),Zestaw elektronarzędzi - w składzie,Gasnica samochodowa 2 kg,Szczotka ulicznica
Wentylator akumulatorowy RAMFAN EX50Li,Gaśnica wodna ciśnieniowa 9.5l,Kaseton 75,,Wspornik progowy,Butla z tlenem 2.7l (zapas),Wanna wychwytowa mała,Pakiet grzewczy,Łopata (3 szt.)
Siekieromłot,Wytwornico - prądownica pianowa,Prądownica Turbo Rosenbauer RB101,,"Osłona poduszki, AIRBAG (3 szt.)",Zestaw do TRIAGE,Rolki pod koła (2 szt.),Osłona silnika,Widły (2 szt.)
Toporek wielofunkcyjny Biel Tool,Prądownica pianowa PP2,Prądownica Turbo TFT G-Force,,Kliny schodkowe kompozytowe (2 szt.),Worek wysokościowy żółty,Podkłady drewniane (12 szt.),Apteczka samochowowa,Tłumice (4 szt.)
Młot 5 kg (uwaga wypada trzonek),Prądownica wodna PW 75,Rozdzielacz mieszkalniowy 52/52-52,,Osłona plexi,"Lina, niebieska",Skrzynia z sorbentem 20kg,Szperacz z gniazdem do zapalniczki,Lina stalowa
Siekiera z klinem,Siodełko wężowe,Rozdzielacz grzybkowy 75/52-75-52,,Wąż hydrauliczny Holmatro 10 m (2 szt.),"Lina, czerwona",Kurtyna wodna 52 (2 szt.),Skrzynka z butelkami wody,Mostek przejazdowy gumowy 2x75 (2 szt.)
Mała siekiera,Zaciskark do rur,Przełacznik 52/75,,,Karabinek zakręcany 10 szt,Smok ssawny płaski,Kalosze dielektryczne (1 para),Siewnik do sorbentu
Nożyce do prętów,Środek owadobójczy,Przełącznik 75/110,,Najaśnica akumulatorowa PELI 9490,Pętla 120,Zbieracz 2x75/110,Rękawice dielektryczne z rękawice robocze,Wąż ssawny 75 (2 szt.)
Huligan 76 cm SPF,Lutlampa,,,Taśma ostrzegawcza biało-czerwona,"Pętla 150, 3 szt",Turbopompa,Dyski sygnalizacyjne  (1 kpl.),Waż ssawny 110 (2 szt.)
Drugie Nożyce do prętów,Środek zwilzajacy (mydełka),,,"Skrzynka narzędziowa, mała - pozycje poniżej",Osłona na liny 6szt,Wąż W75-5ŁA (króciak),Kaski techniczne 4 szt,Bosak aluminiowy składany
,Lina gospodarcza,,,Opaski zaciskowe (trytytki),Worek wysokościowy czerwony,Bandaż do węży 52 i 75,Kamizelki 6 szt,Parawan
,"Kask pilarza, osłona, słuchawki",,,Klucz francuski,"Lina czarno, zolta",Klucz do studzienek,Lornetka,Trójnóg
,Rękawice pilarza,,,Miarka metrówka,Bloczek podwójny 2 szt,Klucz do łączników 75-52 (2 szt.),Lonże (2 szt.) w worku,Worek z osprzętem do trójnogu
,Spodnie pilarza,,,Klucz typu ŻABA,Karabinek triact lock 3 szt,Klucz do łączników 110-75-52 (2 szt.),Uprzeże asekuracyjne (2 szt.),
,Pętla do pilarki,,,Gwoździe długie z podkładkami,Karabinek owalny ozone,Klucz do łączników i hydrantów,Kamizelka odblaskowa (zapakowana),
,Lance gaśnicze fi. 25 FOGNAIL (3 szt.),,,Młotek dwie sztuki,Karabinek zakrecany 2 szt,Przełącznik 110/75,Tarcza do kierowania ruchem (2 szt.),
,Wąż W25-20ŁA (3 szt.),,,Farby w sprayu (3 szt.),Przyrząd zjazdowy petzl IDS,,Lizak świecący,
,Przełącznik 52/25 (2 szt.),,,Koniec wyposażenia skrzynki,Trojkat ewakuacyjny,,Pałka świetlna do kierowania ruchem,
,Rozdzielacz 52/3x25,,,"Znak UWAGA, rozkładany",Zestaw kominowy w worku,,Rzutka ratunkowa,
,Młotek z przebijakiem,,,Podstawa podpory z przedłużką i pasem,Sol,,Taśma biało czerwona,
,Wodery 2 szt.,,,Przedłużka 61 cm,Wiadro metalowe,,Taśma klejąca powertape,
,Skrzynka socjalna,,,Przedłużka,Ubrania chemiczne TYP 3,,Detektor prądu przemiennego HOT STICK,
,,,,Podstawa podpory szeroka z hakiem,Ubrania Tychem TYP 3,,Rękawice skórzane zapasowe (2 pary),
,,,,Saperka w skrzynce z łańcuchami do rozpiera cha,Kalosze kwasoługoodporne,,Detektor wielogazowy MSA ALTAIR 4x,
,,,,Łańcuchy do Rozpieracza z różnymi końcówkami,Rekawice antychemiczne,,Detektor jednogazowy MSA AMONIAK,
,,,,Pasy transportowe dwie sztuki,Rękawy sorbcyjne,,Rękawiczki nitrylowe,
,,,,"Kliny do stabilizacji, duże, cztery sztuki",Taśma szara powertape,,Latarki kątowe (6 szt.),
,,,,"Kliny do stabilizacji, średnie, cztery sztuki, prostokątne",Piła szablasta MILWAAKE + 2 aku.,,Okulary ochronne (3 szt.),
,,,,"Kliny do stabilizacji, prostokąty, cztery sztuki",Skrzynka narzędziowa STANLEY,,"Ubrania ochronne, biologiczne (4 szt.)",
,,,,"Kliny do stabilizacji trójkątne, duże, cztery sztuki",Krzesełka dwie sztuki,,Maseczki FFP2,
,,,,"Kliny do stabilizacji, małe, cztery sztuki, trójkątne",,,Taśma klejąca przezroczysta,
,,,,Deska ortopedyczna,,,Pas strażacki (2 szt.),
,,,,Szyny Kramera,,,AED,
,,,,Bosak NY Roof Hook,,,Opryskiwacz do dezynfekcji,
,,,,Duże podkłady drewniane pod poduszki (2 szt.),,,Aparat powietrzny SCOTT (5 szt.),
,,,,Małe podkłady drewniane pod poduszki (2 szt.),,,Dresy zapasowe (4 szt.),
,,,,Przewód pneumatyczny krótki z zaworem,,,Nosze podbierakowe,
,,,,Poduszka pneumatyczna duża,,,"Zasobnik 'dowódcy""",
,,,,Poduszka pneumatyczna mała,,,Nóż wędkarski,
,,,,Osprzęt do poduszek: przewody (2 szt.) + sterownik + reduktor,,,Nóż do pasów,
,,,,Zawiesia pasowe,,,Klucze do okien i???,
,,,,"Zawiesie, linowe",,,Klucze do skrzynek gazowych,
,,,,Duże szekle (3 szt.),,,Kamera termowizyjna taktyczna MSA,
,,,,Zblocza (2 szt.),,,Kamizelka DOWÓDCA ŁOMIANKI,
,,,,Adapter z hakami,,,Sterowniki do wyciągarki (kablowy i bezprzewodowy),
,,,,Wyważarka do drzwi,,,Klucze do ROP,
,,,,Młotek gumowy,,,Klucze do autobusów,
,,,,Torba z zestawem do otwierania drzwi,,,Klucz do bramy boiska KS Łomianki,
,,,,Mata sprzętowa,,,Bute powietrzne zapasowe (3 szt.),
,,,,Osłony na ostre krawędzie,,,Tablet,
,,,,Siatka na zwierzęta,,,,
